Species,Formula,Inchi
H3C4NH+,C4H4N+,InChI=1S/C4H3N/c1-2-3-4-5/h1H3/p+1
C4H5,C4H5,"InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3"
C4H5+,C4H5+,"InChI=1S/C4H5/c1-3-4-2/h1H2,2H3/q+1"
C5H3N+,C5H3N+,InChI=1S/C5H3N/c1-2-3-4-5-6/h1H3/q+1
C5H4,C5H4,
C5H4+,C5H4+,InChI=1S/C5H4/c1-3-5-4-2/h1-2H2/q+1
C6H3,C6H3,
C6H3+,C6H3+,"InChI=1S/C6H3/c1-3-5-6-4-2/h1H,2H2/q+1"
C6N2H+,C6N2H+,
C7H2,C7H2,InChI=1S/C7H2/c1-3-5-7-6-4-2/h1H2
C7H2+,C7H2+,InChI=1S/C7H2/c1-3-5-7-6-4-2/h1H2/q+1
HC7N+,C7HN+,InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H/q+1
C8H,C8H,InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H
C8H-,C8H-,InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H/q-1
C8H+,C8H+,InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H/q+1
C8N,C8N,
C8N+,C8N+,
C9,C9,InChI=1S/C9/c1-3-5-7-9-8-6-4-2
C9-,C9-,InChI=1S/C9/c1-3-5-7-9-8-6-4-2/q-1
C9+,C9+,InChI=1S/C9/c1-3-5-7-9-8-6-4-2/q+1
CH3C4H,CH3C4H,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3"
CH3OCH3,CH3OCH3,InChI=1S/C2H6O/c1-3-2/h1-2H3
CH3OCH3+,CH3OCH3+,InChI=1S/C2H6O/c1-3-2/h1-2H3/q+1
C10,C10,InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2
C10-,C10-,InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2/q-1
C10+,C10+,InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2/q+1
C2H5OH2+,C2H5OH2+,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/p+1"
CH3COCH3,C2H6CO,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
C2H6CO+,C2H6CO+,InChI=1S/C3H6O/c1-3(2)4/h1-2H3/q+1
C3H5CN,C3H5CN,"InChI=1S/C4H5N/c1-2-3-4-5/h2H,1,3H2"
C3H5NH+,C3H5NH+,
C2H5CHO,C3H6O,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
C3H7,C3H7,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3"
C3H7+,C3H7+,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3/q+1"
C4H5N+,C4H5N+,
CH2CHCHCH2,C4H6,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
C4H6+,C4H6+,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2/q+1"
C5H4N+,C5H4N+,"InChI=1S/C5H4N/c1-2-3-4-5-6/h4H,1H3/q+1"
C5H5,C5H5,"InChI=1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2"
C5H5+,C5H5+,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3/q+1"
C6H4,C6H4,
C6H4+,C6H4+,InChI=1S/C6H4/c1-3-5-6-4-2/h1-2H2/q+1
C7H2N+,C7H2N+,InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H/p+1
C7H3,C7H3,
C7H3+,C7H3+,"InChI=1S/C7H3/c1-3-5-7-6-4-2/h1H,2H2/q+1"
C8H2,C8H2,InChI=1S/C8H2/c1-3-5-7-8-6-4-2/h1-2H
C8H2+,C8H2+,InChI=1S/C8H2/c1-3-5-7-8-6-4-2/h1-2H/q+1
C9H,C9H,InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H
C9H-,C9H-,InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H/q-1
C9H+,C9H+,InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H/q+1
C9N,C9N,InChI=1S/C9N/c1-2-3-4-5-6-7-8-9-10
C9N+,C9N+,InChI=1S/C9N/c1-2-3-4-5-6-7-8-9-10/q+1
C9O,C9O,InChI=1S/C9O/c1-5-7-8(3)9(6-2)10-4
CH3C5N,CH3C5N,InChI=1S/C6H3N/c1-2-3-4-5-6-7/h1H3
CH3OCH4+,CH3OCH4+,InChI=1S/C2H6O/c1-3-2/h1-2H3/p+1
C10H,C10H,InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H
C10H-,C10H-,InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H/q-1
C10H+,C10H+,InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H/q+1
C10N,C10N,
C10N+,C10N+,
C11,C11,InChI=1S/C11/c1-3-5-7-9-11-10-8-6-4-2
C11+,C11+,InChI=1S/C11/c1-3-5-7-9-11-10-8-6-4-2/q+1
C3H6OH+,C3H6OH+,InChI=1S/C3H6O/c1-3(2)4/h1-2H3/p+1
C3H8,C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
C3H8+,C3H8+,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3/q+1"
C4H5NH+,C4H5NH+,
