name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
CH2CHO,C=C[O],KIDA,TRUE,neutral,0,43.01838972,3,0,0,0,0,TRUE
CH3CO+,CC#[O+],KIDA,TRUE,positive,1,43.01784114,3,0,0,0,0,TRUE
C2H4,C=C,KIDA,TRUE,neutral,0,28.031300127999998,2,0,0,0,0,FALSE
C2H4+,[CH+]C,KIDA,TRUE,positive,1,28.030751548090002,2,0,0,0,0,FALSE
HC3NH+,C#C[C+]=N,KIDA,TRUE,positive,1,52.018175484089994,4,1,1,0,0,FALSE
HCCCHO,C#CC=O,KIDA,TRUE,neutral,0,54.01056468,4,0,1,0,0,TRUE
c-C3H2O,O=c1cc1,KIDA,TRUE,neutral,0,54.01056468,4,0,1,0,1,TRUE
CH2CCH,C#C[CH2],KIDA,TRUE,neutral,0,39.0234751,3,0,0,0,0,FALSE
c-C3H3+,c1c[cH+]1,KIDA,TRUE,positive,1,39.022926516089996,3,0,0,0,1,FALSE
C4H2,C#CC#C,KIDA,TRUE,neutral,0,50.01565006,4,0,0,0,0,FALSE
C4H2+,C#C[C]=[CH+],KIDA,TRUE,positive,1,50.015101484089996,4,0,0,0,0,FALSE
C5H,[C-]#C[C]=C=[CH+],KIDA,TRUE,neutral,0,61.00782503,5,0,0,0,0,FALSE
C5H-,[C-]#C[C-]=C=[CH+],KIDA,TRUE,negative,-1,61.00837361,5,0,0,0,0,FALSE
C5H+,[C+]#C[C-]=C=[CH+],KIDA,TRUE,positive,1,61.00727645,5,0,0,0,0,FALSE
CH2NH2,[CH2]N,KIDA,TRUE,neutral,0,30.034374127999996,2,1,1,0,0,FALSE
CH3CO,C[C]=O,KIDA,TRUE,neutral,0,43.01838972,3,0,1,0,0,TRUE
CH3CS+,CC#[S+],KIDA,TRUE,positive,1,58.994997516089995,3,0,0,0,0,FALSE
CH3NH,C[NH],KIDA,TRUE,neutral,0,30.034374127999996,2,0,0,0,0,FALSE
CH3O2+,OC=[OH+],KIDA,TRUE,positive,1,47.012755756089994,3,1,0,0,0,TRUE
CH3SH,CS,KIDA,TRUE,neutral,0,48.00337113,2,1,1,0,0,FALSE
CH2NH2+,[CH2+]N,KIDA,TRUE,positive,1,30.03382555,2,1,1,0,0,FALSE
CH3OH,CO,KIDA,TRUE,neutral,0,32.02621475,2,1,1,0,0,TRUE
CH3NCO,CN=C=O,KIDA,TRUE,neutral,0,57.02146372,4,0,2,0,0,TRUE
CH3NCO+,C[N+]=C=O,KIDA,TRUE,positive,1,57.02091514,4,0,2,0,0,TRUE
CH3CNH+,C[C+]=N,KIDA,TRUE,positive,1,42.03382555,3,1,1,0,0,FALSE
CH3CHO,CC=O,KIDA,TRUE,neutral,0,44.02621475,3,0,1,0,0,TRUE
C2H4O+,CC=[O+],KIDA,TRUE,positive,1,44.02566617,3,0,1,0,0,TRUE
C2H5,[CH2]C,KIDA,TRUE,neutral,0,29.03912516,2,0,0,0,0,FALSE
C3H2CN,C=C=C=C=[N],KIDA,TRUE,neutral,0,64.01872406,5,0,0,0,0,FALSE
CH2CHCN,C=CC#N,KIDA,TRUE,neutral,0,53.0265491,4,0,1,0,0,FALSE
C3H3N+,[CH2+][CH]C#N,KIDA,TRUE,positive,1,53.026000516089994,4,0,1,0,0,FALSE
CH2CCH2,C=C=C,KIDA,TRUE,neutral,0,40.03130013,3,0,0,0,0,FALSE
CH3CCH,C#CC,KIDA,TRUE,neutral,0,40.03130013,3,0,0,0,0,FALSE
C3H4+,C=[C][CH2+],KIDA,TRUE,positive,1,40.030751548089995,3,0,0,0,0,FALSE
C4H3,[CH]=CC#C,KIDA,TRUE,neutral,0,51.0234751,4,0,0,0,0,FALSE
C4H3+,C#C[C+]=C,KIDA,TRUE,positive,1,51.022926516089996,4,0,0,0,0,FALSE
C4N2H+,N#CC#CC#[NH+],KIDA,TRUE,positive,1,77.01342445208999,6,1,1,0,0,FALSE
C5H2,[C-]#CC#C[CH2+],KIDA,TRUE,neutral,0,62.01565006,5,0,0,0,0,FALSE
C5H2+,[C+]#C[C]=C=C,KIDA,TRUE,positive,1,62.015101484089996,5,0,0,0,0,FALSE
HC5N+,[CH+]=[C]C#CC#N,KIDA,TRUE,positive,1,75.01035045,6,0,1,0,0,FALSE
C6H,[C]#CC#CC#C,KIDA,TRUE,neutral,0,73.00782503,6,0,0,0,0,FALSE
C6H-,[C-]#CC#CC#C,KIDA,TRUE,negative,-1,73.00837361,6,0,0,0,0,FALSE
C6H+,[C+]#CC#CC#C,KIDA,TRUE,positive,1,73.00727645,6,0,0,0,0,FALSE
CH3CHS,CC=S,KIDA,TRUE,neutral,0,60.00337113,3,0,1,0,0,FALSE
CH3SH2+,C[SH2+],KIDA,TRUE,positive,1,49.010647580089994,2,0,0,0,0,FALSE
CH3NH2,CN,KIDA,TRUE,neutral,0,31.04219916,2,1,1,0,0,FALSE
