name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen
C9H3N+,CC#CC#CC#C[C+]=C=[N],KIDA,TRUE,positive,1,125.0260005,10,0,0,0,0,FALSE
C9H4+,[CH+]=[C]C#CC#CC#CC,KIDA,TRUE,positive,1,112.0307515,9,0,0,0,0,FALSE
C4H10,CCCC,KIDA,TRUE,neutral,0,58.07825032,4,0,0,1,0,FALSE
C5H9,C=C[CH]CC,KIDA,TRUE,neutral,0,69.07042529,5,0,0,2,0,FALSE
C5H9+,C=C[CH+]CC,KIDA,TRUE,positive,1,69.06987670808999,5,0,0,2,0,FALSE
C6H8,C#C/C=C/CC,KIDA,TRUE,neutral,0,80.06260026,6,0,0,1,0,FALSE
C9H5+,C=C=C=C=C=[C+]C#CC,KIDA,TRUE,positive,1,113.0385766,9,0,0,0,0,FALSE
C5H10,C=CCCC,KIDA,TRUE,neutral,0,70.07825032,5,0,0,2,0,FALSE
C5H11,[CH2]CCCC,KIDA,TRUE,neutral,0,71.08607535,5,0,0,2,0,FALSE
C5H12,CCCCC,KIDA,TRUE,neutral,0,72.09390038,5,0,0,2,0,FALSE
C6H12,C=CCCCC,KIDA,TRUE,neutral,0,84.09390038,6,0,0,3,0,FALSE
C6H13,[CH2]CCCCC,KIDA,TRUE,neutral,0,85.10172542,6,0,0,3,0,FALSE
C6H14,CCCCCC,KIDA,TRUE,neutral,0,86.10955045,6,0,0,3,0,FALSE
C14H10,c1ccc2cc3ccccc3cc2c1,KIDA,TRUE,neutral,0,178.0782503,14,0,0,0,3,FALSE
C14H10+,[CH]1[CH+]C=Cc2cc3ccccc3cc21,KIDA,TRUE,positive,1,178.0777017,14,0,0,0,2,FALSE
H2O,O,KIDA,TRUE,neutral,0,18.01056468,1,0,0,0,0,TRUE
H2O+,[OH2+],KIDA,TRUE,positive,1,18.0100161,1,0,0,0,0,TRUE
HCN,C#N,KIDA,TRUE,neutral,0,27.010899031999998,2,0,1,0,0,FALSE
HCN+,[CH+]=[N],KIDA,TRUE,positive,1,27.01035045,2,0,0,0,0,FALSE
HCO,[CH]=O,KIDA,TRUE,neutral,0,29.00273965,2,0,1,0,0,TRUE
HCO+,C#[O+],KIDA,TRUE,positive,1,29.00219107,2,0,0,0,0,TRUE
HCP,C#P,KIDA,TRUE,neutral,0,43.98158666,2,0,0,0,0,FALSE
HCP+,[CH+]=[P],KIDA,TRUE,positive,1,43.981038082089995,2,0,0,0,0,FALSE
HCS,[CH]=S,KIDA,TRUE,neutral,0,44.97989603,2,0,1,0,0,FALSE
HCS+,C#[S+],KIDA,TRUE,positive,1,44.979347452089996,2,0,0,0,0,FALSE
HNC,[C]=N,KIDA,TRUE,neutral,0,27.010899031999998,2,1,1,0,0,FALSE
HNC+,[C+]=N,KIDA,TRUE,positive,1,27.01035045,2,1,1,0,0,FALSE
HNO,N=O,KIDA,TRUE,neutral,0,31.00581365,2,1,2,0,0,TRUE
HNO+,N=[O+],KIDA,TRUE,positive,1,31.00526507,2,1,2,0,0,TRUE
HNS+,N=[S+],KIDA,TRUE,positive,1,46.982421452089994,2,1,2,0,0,FALSE
H2CN,C=[N],KIDA,TRUE,neutral,0,28.018724063999997,2,0,0,0,0,FALSE
H2CO,C=O,KIDA,TRUE,neutral,0,30.01056468,2,0,1,0,0,TRUE
H2CO+,C=[O+],KIDA,TRUE,positive,1,30.0100161,2,0,1,0,0,TRUE
H2CS,C=S,KIDA,TRUE,neutral,0,45.98772106,2,0,1,0,0,FALSE
H2CS+,C=[S+],KIDA,TRUE,positive,1,45.987172484089996,2,0,1,0,0,FALSE
H2NC+,[C+]N,KIDA,TRUE,positive,1,28.01817548,2,1,1,0,0,FALSE
H2NO+,N[O+],KIDA,TRUE,positive,1,32.013090104090004,2,1,1,0,0,TRUE
HOOH,OO,KIDA,TRUE,neutral,0,34.0054793,2,2,2,0,0,TRUE
H3O+,[OH3+],KIDA,TRUE,positive,1,19.01784114,1,0,0,0,0,TRUE
HC2N,[CH+]=C=[N-],KIDA,TRUE,neutral,0,39.010899032000005,3,0,0,0,0,FALSE
HC2O,C#C[O],KIDA,TRUE,neutral,0,41.00273965,3,0,0,0,0,TRUE
HC2S+,[CH+]=C=S,KIDA,TRUE,positive,1,56.979347452089996,3,0,1,0,0,FALSE
l-C3H,[C-]=C=[CH+],KIDA,TRUE,neutral,0,37.00782503,3,0,0,0,0,FALSE
HCNH+,[CH+]=N,KIDA,TRUE,positive,1,28.01817548,2,1,1,0,0,FALSE
HCNO,C#[N+][O-],KIDA,TRUE,neutral,0,43.00581365,3,0,1,0,0,TRUE
HCNO+,C#[N+][O],KIDA,TRUE,positive,1,43.00526507,3,0,0,0,0,TRUE
HCNS,C#[N+][S-],KIDA,TRUE,neutral,0,58.98297003,3,0,1,0,0,FALSE
HOCO+,O=[C+]O,KIDA,TRUE,positive,1,44.99710569,3,1,1,0,0,TRUE
HDCO,[2H]C=O,KIDA,TRUE,neutral,0,31.01684143,2,0,1,0,0,TRUE
HNCO+,N=C=[O+],KIDA,TRUE,positive,1,43.00526507,3,1,2,0,0,TRUE
HNCS,N=C=S,KIDA,TRUE,neutral,0,58.98297003,3,1,2,0,0,FALSE
HNCS+,N=C=[S+],KIDA,TRUE,positive,1,58.982421452089994,3,1,2,0,0,FALSE
HOCN,N#CO,KIDA,TRUE,neutral,0,43.00581365,3,1,2,0,0,TRUE
HOCN+,[N]=[C+]O,KIDA,TRUE,positive,1,43.00526507,3,1,0,0,0,TRUE
HOCS+,O[C+]=S,KIDA,TRUE,positive,1,60.97426207,3,1,1,0,0,TRUE
HONC,[C-]#[N+]O,KIDA,TRUE,neutral,0,43.00581365,3,1,1,0,0,TRUE
HONC+,[C]#[N+]O,KIDA,TRUE,positive,1,43.00526507,3,1,1,0,0,TRUE
HSO2+,O=S=[OH+],KIDA,TRUE,positive,1,64.96917669,3,0,1,0,0,TRUE
l-C3H2,[C-]#C[CH2+],KIDA,TRUE,neutral,0,38.01565006,3,0,0,0,0,FALSE
l-C3H2+,[C+]=C=C,KIDA,TRUE,positive,1,38.015101484089996,3,0,0,0,0,FALSE
H2CCS,C=C=S,KIDA,TRUE,neutral,0,57.98772106,3,0,1,0,0,FALSE
