name,smiles,source,detected_in_ism,molecular_charge,net_formal_charge,Exact_MW,Heavy_Atom_Count,Num_H_Donors,Num_H_Acceptors,Num_Rotatable_Bonds,Num_Aromatic_Rings,has_oxygen,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A,tunneling_p_10K,tunneling_p_20K,tunneling_p_50K,gamow_factor,crossover_T,effective_barrier_kJmol,barrier_width_angstrom,particle_mass_amu,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol,log_tunneling_10K,log_tunneling_20K,log_tunneling_50K,log_gamow_factor,bde_literature_kjmol
CH2OH,[CH2]O,KIDA,True,neutral,0,31.018389716,2,1,1,0,0,True,162.68840686652945,322.42946895550983,O-H,1,xtb_corrected,-15.4,True,1.0,0.0,0.9741227936638612,1.716393420028195e-32,1.944334382569353e-32,2.3727251305503672e-32,5.9715535329059616e-21,178.33246605756267,108.45893791101965,1.0,1.008,824.3584274198644,-21.34102024148296,-20.721079559930473,-20.544686528321655,-34.09127761502246,487.17544126722777,324.7836275114852,-31.765383159049016,-31.711229043927933,-31.62475256991559,-20.22391267004339,402.3
CH2PH,C=P,KIDA,True,neutral,0,45.99723673,2,0,0,0,0,False,508.0219363599504,508.0219363599504,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0996056886523329,0.0,0.0,2.184137278829379e-248,1.6993499530134811e-44,385.9570464931805,508.0219363599504,1.0,1.008,686.9653561832204,-35.196396247025895,-34.23321641787203,-33.86724364303439,-45.08811563293047,445.8463333329251,445.8463333329251,-300.0,-300.0,-247.6607200685477,-43.769717176156,
CH2NH,C=N,KIDA,True,neutral,0,29.026549095999997,2,1,1,0,0,False,470.2593325594729,489.4374378629894,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0267118361738845,0.0,0.0,1.2346890617295246e-217,7.734829376458607e-43,371.33548546831855,470.2593325594729,1.0,1.008,778.5607370076495,-31.92798973578698,-30.93652379123576,-30.554426160489033,-42.56755805417706,455.8220409565289,455.8220409565289,-300.0,-300.0,-216.9084423993091,-42.11154926201372,
CH3O,C[O],KIDA,True,neutral,0,31.018389716,2,0,0,0,0,True,126.42860021961523,126.42860021961523,C-H,3,xtb_corrected,-15.4,True,1.0,1.0,1.1032644949344772,1.0630071352196891e-28,1.137896467658906e-28,1.4509232543090158e-28,1.484964366052688e-18,157.20804858182643,84.28573347974348,1.0,1.008,686.9653561832204,-23.227973688592943,-22.68659440216521,-22.547449598915293,-36.925968503602824,445.58519199752226,297.0567946650148,-27.973463820353338,-27.943897250744016,-27.838355558693607,-17.828283967769238,437.0
CH2SH,[CH2]S,KIDA,True,neutral,0,46.9955461,2,1,1,0,0,False,386.6,386.6,C-H,0,literature,0.0,False,1.0,1.0,,0.0,0.0,1.0592773435916624e-176,1.080865357300865e-39,343.6003565356619,402.63518928091634,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-175.97499031654792,-38.96622840246037,386.6
CH4,C,KIDA,True,neutral,0,16.031300127999998,1,0,0,0,0,False,439.3,439.3,C-H,0,literature,0.0,False,1.0,0.0,,0.0,0.0,3.613937145068503e-286,1.2246215832280675e-46,404.8474681787801,558.9685485028735,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-285.44201940511965,-45.91199809065053,439.3
CH3CN,CC#N,KIDA,True,neutral,0,41.0265491,3,0,1,0,0,False,489.73420591522034,489.73420591522034,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.094039768888072,0.0,0.0,8.885106908964418e-226,1.0600162670281002e-43,378.9465530044993,489.73420591522034,1.0,1.008,686.9653561832204,-35.22843520015831,-34.26412894504596,-33.897506037701504,-44.87987234919314,446.24359178497207,446.24359178497207,-300.0,-300.0,-225.0513373422319,-42.974687469993405,
CH3CN+,C[C+]=[N],KIDA,True,positive,1,41.02600052,3,0,0,0,0,False,385.9169773722921,385.9169773740426,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0938743039808794,0.0,0.0,1.0676427767724037e-157,7.101101908475934e-39,336.39124474398017,385.9169773749178,1.0,1.008,686.9653561832204,-35.2293876665914,-34.26504792483424,-33.898405688333725,-44.873678398334455,446.2554015730545,446.2554015730545,-300.0,-300.0,-156.9715740338504,-38.14867425471203,
CH2CHO,C=C[O],KIDA,True,neutral,0,43.01838972,3,0,0,0,0,True,138.82972039728045,316.79340490269567,C-H,1,xtb_corrected,-15.4,True,1.0,4.0,1.092099982467845,4.7601384504984894e-30,5.1623448740366165e-30,6.473660427122554e-30,2.0787215604524828e-19,164.7378283272362,92.5531469315203,1.0,1.008,686.9653561832204,-23.270558949998087,-22.727674960857833,-22.58782214699811,-36.58496424792816,446.3820408793247,297.58802725288314,-29.322380415470036,-29.287152985478325,-29.188850085053105,-18.682203679431133,
CH3CO+,CC#[O+],KIDA,True,positive,1,43.01784114,3,0,0,0,0,True,356.0,356.0,C-H,3,literature,0.0,False,1.0,0.0,,0.0,0.0,4.0219256437235975e-256,3.112003053786408e-45,392.4579808287217,525.2799778040468,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-255.3955659627843,-44.50695998551206,356.0
C2H4,C=C,KIDA,True,neutral,0,28.031300128,2,0,0,0,0,False,464.0,464.0,C-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,1.690376654494838e-287,9.401673422035551e-47,405.85973457313,561.7672937403049,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-286.7720165138817,-46.02679483860524,464.0
C2H4+,[CH+]C,KIDA,True,positive,1,28.03075154809,2,0,0,0,0,False,461.1,461.1,C-H,0,literature,0.0,False,1.0,0.0,,1.0676643401389547e-40,1.6527742711381816e-40,1.924358615003743e-40,4.4266168818735005e-26,223.5684355284505,170.4611807260575,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-39.97156526241792,-39.78178645646681,-39.71571399154747,-25.35392806403613,461.1
HC3NH+,C#C[C+]=N,KIDA,True,positive,1,52.018175484089994,4,1,1,0,0,False,631.8,647.6852056326147,N-H,0,literature,0.0,False,1.0,2.0,,0.0,0.0,0.0,4.519825728220056e-50,435.1182671676863,645.6826984902076,1.0,1.008,778.5607370076495,-32.22771549318302,-31.224402910572103,-30.835422448735237,-42.06615301552556,460.0,460.0,-300.0,-300.0,-300.0,-49.34487831004071,631.8
HCCCHO,C#CC=O,KIDA,True,neutral,0,54.01056468,4,0,1,0,0,True,385.0,385.0,C-H,0,literature,0.0,False,1.0,2.0,,3.0888306217328774e-242,2.605837363468352e-142,1.4266492978644732e-82,1.0875256642962415e-32,281.85152192579017,270.9226315034677,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-241.5102059058985,-141.58405269313317,-81.84568277301084,-31.963560485425532,385.0
c-C3H2O,O=c1cc1,KIDA,True,neutral,0,54.01056468,4,0,1,0,1,True,472.0,472.0,C-H,0,literature,0.0,False,1.0,3.0,,0.0,0.0,9.351933399560514e-226,1.0657334643256477e-43,378.9259537437525,489.6809641673712,1.0,1.008,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945,-300.0,-300.0,-225.02909859469335,-42.97235139704146,472.0
