name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
C8H2+,616.1343014414427,616.1350894997092,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649591522783683
C9H,470.8922964669493,470.8922964669493,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0651599457661638
C9H-,410.093156385674,410.093156385674,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.065160124392301
C9H+,642.1166442851419,642.1166442851419,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.065160048245774
CH3C5N,438.2491475812805,438.2491475812805,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941586366586407
CH3OCH4+,443.8269247046862,528.8137152922134,O-H,0,xtb_corrected,-15.4,True,1.0,1.0,0.9919652238003049
C10H,545.0229867850181,545.0229867850181,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.065024628725407
C10H-,494.7834953087229,494.7834953087229,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.065024628725407
C10H+,597.4690931499917,597.4690931499917,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0650246450363794
C3H6OH+,486.0077841616504,490.88706336954994,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0930193318905477
C3H8,508.15525658769354,525.3923419146719,C-H,0,xtb_corrected,-15.4,False,1.0,1.0,1.0956315771014256
C4H7,405.0944,405.0944,C-H,0,literature,0.0,False,1.0,2.0,
C5H6,427.39270344821483,484.0665104302058,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0942597679999095
H3C6NH+,432.0452480336721,455.5150963500541,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941617853099104
c-C6H5,385.7737791838931,396.1541439387124,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0858303294805591
C6H5+,465.9,465.9,C-H,0,literature,0.0,False,1.0,3.0,
H3C7N+,291.3652138545006,291.3652140041534,C-H,3,xtb_corrected,-15.4,False,1.0,0.0,1.0941610167967724
C7H4,419.8672,419.8672,C-H,0,literature,0.0,False,1.0,2.0,
C7H4+,345.2859323758623,345.2860531652773,C-H,4,xtb_corrected,-15.4,False,1.0,0.0,1.0830515484038343
C8H3+,411.52521093302533,485.88470027181864,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0838518634374386
C9H2,547.6848,547.6848,C-H,0,literature,0.0,False,1.0,0.0,
C9H2+,329.64653838572775,329.64653838966865,C-H,2,xtb_corrected,-15.4,False,1.0,2.0,1.0839229339849452
C9HN+,618.2569915478734,618.2569915478734,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.065024735815939
CH3C6H,434.92243256207223,474.2361501850096,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.0941617635698084
C10H2,588.0637461372407,588.0637784965321,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649688789365046
C10H2+,607.9310042933515,612.8555953910684,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0649687323141643
