Classical-Only (A),Classical + BDE (A+B),Classical + Independent Physics (A+C),Full (A+B+C),name,BDE_lit,BDE_min,bond_type,oxygen_radical_flag,has_oxygen
-0.009058803867280307,-0.0027067063508625644,-0.007834251990483931,-0.002592111368632022,l-C3H,413.0,413.0,C-H,0,0
0.18909220445194164,0.10662210029035935,0.1889433470668731,0.10656189469369437,HCNH+,660.0,660.0,N-H,0,0
-0.15843224755551644,-0.0503453928231532,-0.16009705487560044,-0.0500164637144751,HCNO,292.88,292.88,C-H,0,1
0.18790464674120155,0.04232160641800764,0.1665636023839161,0.04273648589133838,HOCO+,587.0208,708.0434915585399,O-H,1,1
-0.052066176672456166,-0.02323322368633729,-0.05566050360736652,-0.02333720211387824,HDCO,363.5888,363.5888,C-H,1,1
0.03130982822113637,0.015772075275915842,0.03255269424104679,0.016548312595009662,HNCO+,458.56,458.56,N-H,0,1
0.03571097322851058,0.012956346388356632,0.03510109772548686,0.01260117584111864,HNCS,460.24,460.24,N-H,0,0
0.034244943035377506,0.012811375794860247,0.034865676148178704,0.013039956978773137,HOCN,460.24,460.24,O-H,1,1
0.02347278437296385,0.016163290234394445,0.02967709718207967,0.0156686629488334,HOCS+,460.24,460.24,O-H,1,1
0.033030292336113654,0.012896410547394321,0.033939895589783386,0.013220351683863374,HONC,460.24,460.24,O-H,1,1
0.033842257625785965,0.012776687445786639,0.03318337714857078,0.012933288727024372,HONC+,460.24,460.24,O-H,1,1
0.041235893128888534,0.011087319174418298,0.03275988521777018,0.0105207771524376,HSO2+,460.24,460.24,O-H,1,1
-0.054560712627276686,-0.017297459574700635,-0.043064821180956336,-0.017591244438183384,l-C3H2,382.8356,382.8356,C-H,0,0
-0.011212312878808195,-0.009173053480506788,-0.01767169368984911,-0.008939296420230392,H2CSH+,397.48,397.48,C-H,0,0
0.014575097138913584,0.005290928877761392,0.014600521148977919,0.004910305832577677,H2COH+,436.0,436.0,C-H,1,1
0.05483371138610993,0.014789850970744922,0.05652796099031221,0.017873139565168117,HCCNC,484.7,484.7,C-H,0,0
0.08300560090967712,0.03180366198458717,0.08374632610731858,0.032033565070383574,HC3N,518.0,518.0,C-H,0,0
-0.01606582117945088,-0.009089064807880298,-0.022965099999237903,-0.009321092562966538,HC3O,404.5928,404.5928,C-H,0,1
0.15887498497350316,0.08883484628584437,0.1673484031592989,0.08968862332671845,HNCCC,631.79,631.79,N-H,0,0
-0.0007917708252884736,-0.00042470743282674306,0.0031963862911634777,-0.0005692899667795182,HC4N,427.0,427.0,C-H,0,0
0.0218854203891925,0.016043770629834864,0.02472729103747673,0.01591538847245344,HC4N+,460.0,460.0,C-H,0,0
0.12635335463779152,0.05114783718956506,0.1265876100527632,0.0507031600630139,HC7N,569.02,569.02,C-H,0,0
0.1267375664435142,0.05222580528474552,0.1287220591324978,0.051867575533946386,HC9N,574.89,574.89,C-H,0,0
-0.10790988597905882,-0.04663257954450195,-0.10685067281029736,-0.04595573518114726,ND,331.8,331.8,N-H,0,0
-0.09764554406093273,-0.03977423442850503,-0.09913381738649374,-0.03990492239335275,NH,331.8,331.8,N-H,0,0
-0.1130678996110368,-0.05038251508855085,-0.10586859638042867,-0.049334265702972946,NH+,331.8,331.8,N-H,0,0
-0.047092844783083176,-0.012979924250659192,-0.04794323065433259,-0.013622827735502607,N2H,376.56,376.56,N-H,0,0
-0.002273680918915666,0.0001190810061575398,-0.001285727440342832,0.00011474306928782596,NH2,416.304,416.304,N-H,0,0
0.01752844828326383,0.006521127331749366,0.018391961443458005,0.006452803797278417,NH2+,443.0,443.0,N-H,0,0
-0.027701161379279693,-0.008985006662881823,-0.022138778066869147,-0.008806883331409665,NHD,397.0,397.0,N-H,0,0
-0.07363455538731145,-0.014321287467999433,-0.07905877980679099,-0.014727950591318706,N2H2,349.0,349.0,N-H,0,0
0.009363151508567036,0.004244662608479555,0.00953231009322808,0.003945523454241595,NH3,435.0,435.0,N-H,0,0
0.01595857476192908,0.009731033981330572,0.014121067392161901,0.009379910818606785,NH3+,443.93,443.93,N-H,0,0
-0.002186175836552895,0.0004538328731165109,-0.0019677390039296583,0.0005128452381639725,NH2CN,418.0,418.0,N-H,0,0
0.011524960346751545,0.003781369204111318,0.020919571761506273,0.0036151500384811186,NH4+,444.0,444.0,N-H,0,0
-0.026652916155859074,-0.017650067363538025,-0.02941477653142721,-0.017958689344322654,N2H4,391.0,391.0,N-H,0,0
-0.03944778680791172,-0.011559265936191832,-0.032375009663298204,-0.01198531959736071,NH2CDO,395.0,395.0,N-H,0,1
-0.0006962646848083232,-0.003477744142665884,-0.007584875108388456,-0.0034251508223670513,NH2CNH+,409.0,409.0,N-H,0,0
-0.04082789240323148,-0.014483830196053038,-0.03648672713712875,-0.015057626804153124,NH2CHS,390.0,390.0,N-H,0,0
0.06943324618980062,0.024506933234819783,0.07057459927096499,0.0243081996875798,OH,497.8968,497.8968,O-H,1,1
-0.06916475152421775,-0.02832069203819243,-0.06891578904812201,-0.02929207573373871,O2H,362.7528,362.7528,O-H,1,1
-0.023771256845742883,-0.00997770151328048,-0.02556323220356216,-0.010143546847621643,CH3S,397.48,397.48,C-H,0,0
-0.10763611631105752,-0.043771469888167935,-0.10972893451500809,-0.040996855807150734,C6H7,321.7,321.7,C-H,0,0
